Qty,Line Item,Manufacturer,MPN,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 10),SKU,SKU,SKU,Packaging,Packaging,Packaging,Unit Price (@ Batch Size: 10),Unit Price (@ Batch Size: 10),Unit Price (@ Batch Size: 10),In Stock,In Stock,In Stock,MOQ,MOQ,MOQ,URL,URL,URL,Distributor [Mouser],SKU [Mouser],Packaging [Mouser],Unit Price (@ Batch Size: 10) [Mouser],Line Total [Mouser],Batch Total [Mouser],In Stock [Mouser],MOQ [Mouser],URL [Mouser],Notes
,,,,,,,,,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,Digi-Key,Mouser,Newark,,,,,,,,,,
2,UUR1E471MNL1GS,Nichicon,UUR1E471MNL1GS,https://octopart.com/uur1e471mnl1gs-nichicon-12146535,"C3,C9",,,20,493-6225-6-ND,UUR1E471MNL1GS,55K1628,Custom Reel,,Tape & Reel,0.420536613,0.29499019200000004,,0,980,0,1,,1000,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0e31835&sid=459&ppid=12146535&vpid=50634619&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0b786fa&sid=2401&ppid=12146535&vpid=37732438&ct=offers,https://octopart.com/click/track?c=1&country=ES&ak=68b25f31&sig=00fc5f6&sid=2402&ppid=12146535&vpid=55219009&ct=offers,Mouser,UUR1E471MNL1GS,,0.29499019200000004,0.5899803840000001,5.899803840000001,980,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0b786fa&sid=2401&ppid=12146535&vpid=37732438&ct=offers,
1,301010088,Yageo,RC0603JR-07470RL,https://octopart.com/rc0603jr-07470rl-yageo-39983436,R1,,,10,311-470GRCT-ND,RC0603JR-07470RL,98K7317,Cut Tape,,Cut Tape,0.009657417,0.007023576,0.007901522999999999,2478587,169466,28499,1,,10,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=00e7ec3&sid=459&ppid=39983436&vpid=114983160&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0851551&sid=2401&ppid=39983436&vpid=114830361&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0336455&sid=2402&ppid=39983436&vpid=20052134&ct=offers,Mouser,RC0603JR-07470RL,,0.007023576,0.007023576,0.07023576000000001,169466,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0851551&sid=2401&ppid=39983436&vpid=114830361&ct=offers,
1,301010124,Yageo,RC0603JR-072K2L,https://octopart.com/rc0603jr-072k2l-yageo-55508104,R2,,,10,311-2.2KGRCT-ND,RC0603JR-072K2L,98K7303,Cut Tape,,Cut Tape,0.009657417,0.007023576,0.007023576,678225,183318,67738,1,,10,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=09bacb3&sid=459&ppid=55508104&vpid=188128991&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0a71727&sid=2401&ppid=55508104&vpid=191304875&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=09e4657&sid=2402&ppid=55508104&vpid=20052572&ct=offers,Mouser,RC0603JR-072K2L,,0.007023576,0.007023576,0.07023576000000001,183318,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0a71727&sid=2401&ppid=55508104&vpid=191304875&ct=offers,
1,301010145,Yageo,RC0603JR-0751KL,https://octopart.com/rc0603jr-0751kl-yageo-1184921,R3,,,10,311-51KGRCT-ND,RC0603JR-0751KL,68R0196,Cut Tape,,Cut Tape,0.009657417,0.007023576,0.000877947,53699,4032,462,1,,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=065e0e1&sid=459&ppid=1184921&vpid=1636966&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0076e89&sid=2401&ppid=1184921&vpid=61172417&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0f1baff&sid=2402&ppid=1184921&vpid=21831815&ct=offers,Mouser,RC0603JR-0751KL,,0.007023576,0.007023576,0.07023576000000001,4032,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0076e89&sid=2401&ppid=1184921&vpid=61172417&ct=offers,
3,885012106022,WÃ¼rth Elektronik,885012106022,https://octopart.com/885012106022-w%C3%BCrth+elektronik-53758747,"R4,R5,R6",,,30,732-7919-1-ND,885012106022,75Y6002,Cut Tape,,Cut Tape,0.077259336,0.07023576000000001,0.037751720999999995,7029,12321,730,1,,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=07494ef&sid=459&ppid=53758747&vpid=229678757&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=074362c&sid=2401&ppid=53758747&vpid=255537113&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=000c5f0&sid=2402&ppid=53758747&vpid=247914436&ct=offers,Mouser,885012106022,,0.07023576000000001,0.21070728000000002,2.1070728,12321,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=074362c&sid=2401&ppid=53758747&vpid=255537113&ct=offers,
1,302010007,Yageo,CC0402JRNPO9BN470,https://octopart.com/cc0402jrnpo9bn470-yageo-192874,C7,,,10,311-1021-1-ND,CC0402JRNPO9BN470,68R4613,Cut Tape,,Cut Tape,0.013169205,0.008779470000000001,0.001755894,1300207,79941,3973,1,,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=00681b6&sid=459&ppid=192874&vpid=115263355&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=065e8fc&sid=2401&ppid=192874&vpid=174630803&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0f7ff13&sid=2402&ppid=192874&vpid=115423406&ct=offers,Mouser,CC0402JRNPO9BN470,,0.008779470000000001,0.008779470000000001,0.0877947,79941,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=065e8fc&sid=2401&ppid=192874&vpid=174630803&ct=offers,
1,302010022,Yageo,CC0402KRX7R9BB222,https://octopart.com/cc0402krx7r9bb222-yageo-39467642,C6,,,10,311-1037-1-ND,CC0402KRX7R9BB222,68R4664,Cut Tape,,Cut Tape,0.014047152,0.008779470000000001,0.002633841,656794,9778,21204,1,,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0848083&sid=459&ppid=39467642&vpid=115141213&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0c73a79&sid=2401&ppid=39467642&vpid=181778134&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=058e75c&sid=2402&ppid=39467642&vpid=115423436&ct=offers,Mouser,CC0402KRX7R9BB222,,0.008779470000000001,0.008779470000000001,0.0877947,9778,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0c73a79&sid=2401&ppid=39467642&vpid=181778134&ct=offers,
2,302010111,Yageo,CC0603KRX5R6BB475,https://octopart.com/cc0603krx5r6bb475-yageo-9292507,"C1,C2",,,20,311-1455-1-ND,CC0603KRX5R6BB475,59M4958,Cut Tape,,Cut Tape,0.100963905,0.065846025,0.05970039600000001,25019,92542,3120,1,,10,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=08b5ec4&sid=459&ppid=9292507&vpid=115263390&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0b4e05d&sid=2401&ppid=9292507&vpid=121064604&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0f98c7d&sid=2402&ppid=9292507&vpid=22463859&ct=offers,Mouser,CC0603KRX5R6BB475,,0.065846025,0.13169205,1.3169205000000002,92542,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0b4e05d&sid=2401&ppid=9292507&vpid=121064604&ct=offers,
1,CC0603KRX5R8BB105,Yageo,CC0603KRX5R8BB105,https://octopart.com/cc0603krx5r8bb105-yageo-9292811,C5,,,10,311-1445-6-ND,CC0603KRX5R8BB105,68R4762,Custom Reel,,Cut Tape,0.045653244,0.028972251,0.042141456,0,9330,2652,1,,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0fe4ffb&sid=459&ppid=9292811&vpid=45699664&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0add2d4&sid=2401&ppid=9292811&vpid=44839237&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=063998c&sid=2402&ppid=9292811&vpid=21910875&ct=offers,Mouser,CC0603KRX5R8BB105,,0.028972251,0.028972251,0.28972251,9330,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0add2d4&sid=2401&ppid=9292811&vpid=44839237&ct=offers,
1,302010140,Yageo,CC0603KRX7R9BB103,https://octopart.com/cc0603krx7r9bb103-yageo-192938,C8,,,10,311-1085-1-ND,CC0603KRX7R9BB103,68R4787,Cut Tape,,Cut Tape,0.017558940000000002,0.010535364,0.016680993,2575157,411403,2847,1,,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0e8d274&sid=459&ppid=192938&vpid=115969793&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0c6d7ce&sid=2401&ppid=192938&vpid=115540541&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0bf3a69&sid=2402&ppid=192938&vpid=119887049&ct=offers,Mouser,CC0603KRX7R9BB103,,0.010535364,0.010535364,0.10535364,411403,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0c6d7ce&sid=2401&ppid=192938&vpid=115540541&ct=offers,
2,GRM21BR61E106MA73L,Murata,GRM21BR61E106MA73L,https://octopart.com/grm21br61e106ma73l-murata-46693545,"C4,C10",,,20,490-10748-1-ND,GRM21BR61E106MA73L,96Y9275,Cut Tape,,Cut Tape,0.12291258000000002,0.07462549500000001,0.07462549500000001,2054,1715,15737,1,,5,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0e7381d&sid=459&ppid=46693545&vpid=210890997&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0a86911&sid=2401&ppid=46693545&vpid=173495545&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0c060d8&sid=2402&ppid=46693545&vpid=271767203&ct=offers,Mouser,GRM21BR61E106MA73L,,0.07462549500000001,0.14925099000000003,1.4925099000000004,1715,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0a86911&sid=2401&ppid=46693545&vpid=173495545&ct=offers,
1,SK44BL-TP,MCC,SK44BL-TP,https://octopart.com/sk44bl-tp-mcc-20019627,D2,,,10,SK44BL-TPMSCT-ND,SK44BL-TP,69W3727,Cut Tape,,Tape & Reel,0.380151051,0.30728145,,13355,3347,0,1,,3000,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0a83228&sid=459&ppid=20019627&vpid=37518588&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=05a7fcb&sid=2401&ppid=20019627&vpid=165390152&ct=offers,https://octopart.com/click/track?c=1&country=ES&ak=68b25f31&sig=09ab544&sid=2402&ppid=20019627&vpid=96332014&ct=offers,Mouser,SK44BL-TP,,0.30728145,0.30728145,3.0728145000000002,3347,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=05a7fcb&sid=2401&ppid=20019627&vpid=165390152&ct=offers,
1,APT1608EC,Kingbright,APT1608EC,https://octopart.com/apt1608ec-kingbright-868722,D1,,,10,754-1117-1-ND,APT1608EC,,Cut Tape,,,0.23880158400000004,0.069357813,,99689,37700,,1,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=098ed0b&sid=459&ppid=868722&vpid=34034307&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0f61bb0&sid=2401&ppid=868722&vpid=37629030&ct=offers,,Mouser,APT1608EC,,0.069357813,0.069357813,0.69357813,37700,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0f61bb0&sid=2401&ppid=868722&vpid=37629030&ct=offers,
3,320020016,YXCON,P125-1102A0BS116A1,https://octopart.com/p125-1102a0bs116a1-yxcon-51841198,"J2,J3,J5",,,30,,,,,,,,,,,,,,,,,,,,,,,,,,
1,320020061,YXCON,P125-1103A0BR138A1,https://octopart.com/p125-1103a0br138a1-yxcon-51841201,J4,,,10,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ASPI-4030S-6R8M-T,Abracon,ASPI-4030S-6R8M-T,https://octopart.com/aspi-4030s-6r8m-t-abracon-29784605,L1,,,10,535-12323-1-ND,ASPI-4030S-6R8M-T,,Cut Tape,,,0.378395157,0.30728145,,5009,1143,,1,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0b4f3f6&sid=459&ppid=29784605&vpid=82026867&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=02df9fc&sid=2401&ppid=29784605&vpid=261390699&ct=offers,,Mouser,ASPI-4030S-6R8M-T,,0.30728145,0.30728145,3.0728145000000002,1143,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=02df9fc&sid=2401&ppid=29784605&vpid=261390699&ct=offers,
1,MCP73832T-2ACI/OT,Microchip,MCP73832T-2ACI/OT,https://octopart.com/mcp73832t-2aci%2Fot-microchip-664172,IC1,,,10,MCP73832T-2ACI/OTCT-ND,MCP73832T-2ACI/OT,88K5656,Cut Tape,,Cut Tape,0.50920926,0.4916503200000001,0.50920926,35827,19435,2282,1,,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0b08478&sid=459&ppid=664172&vpid=34018682&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0943f0b&sid=2401&ppid=664172&vpid=37648431&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=08a1bb0&sid=2402&ppid=664172&vpid=11377983&ct=offers,Mouser,MCP73832T-2ACI/OT,,0.4916503200000001,0.4916503200000001,4.916503200000001,19435,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0943f0b&sid=2401&ppid=664172&vpid=37648431&ct=offers,
1,PAM2421AECADJR,Diodes Inc.,PAM2421AECADJR,https://octopart.com/pam2421aecadjr-diodes+inc.-29030430,IC2,,,10,PAM2421AECADJRDICT-ND,PAM2421AECADJR,,Cut Tape,,,0.69357813,0.639145416,,707,2972,,1,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0718d06&sid=459&ppid=29030430&vpid=87970952&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=01e0d37&sid=2401&ppid=29030430&vpid=121771228&ct=offers,,Mouser,PAM2421AECADJR,,0.639145416,0.639145416,6.391454159999999,2972,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=01e0d37&sid=2401&ppid=29030430&vpid=121771228&ct=offers,
1,AZ1117IH-3.3TRG1,Diodes Inc.,AZ1117IH-3.3TRG1,https://octopart.com/az1117ih-3.3trg1-diodes+inc.-66661011,U1,,,10,AZ1117IH-3.3TRG1DICT-ND,AZ1117IH-3.3TRG1,,Cut Tape,,,0.260750259,0.23880158400000004,,1904,7524,,1,,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0db05dd&sid=459&ppid=66661011&vpid=237933054&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=039aa3e&sid=2401&ppid=66661011&vpid=240466506&ct=offers,,Mouser,AZ1117IH-3.3TRG1,,0.23880158400000004,0.23880158400000004,2.3880158400000004,7524,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=039aa3e&sid=2401&ppid=66661011&vpid=240466506&ct=offers,
1,320010003,FCI,10118193-0001LF,https://octopart.com/10118193-0001lf-fci-21265435,USB1,,,10,609-4616-1-ND,10118193-0001LF,67T2259,Cut Tape,,Cut Tape,0.38366283900000003,0.279187146,0.340643436,142700,50869,13734,1,,1,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=0900a22&sid=459&ppid=21265435&vpid=44566230&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=001e9e6&sid=2401&ppid=21265435&vpid=45455346&ct=offers,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=00dfae7&sid=2402&ppid=21265435&vpid=96140857&ct=offers,Mouser,10118193-0001LF,,0.279187146,0.279187146,2.79187146,50869,,https://octopart.com/click/track?country=ES&ak=68b25f31&sig=001e9e6&sid=2401&ppid=21265435&vpid=45455346&ct=offers,
